#        time                area                spin                 c_x                 c_y                 c_z
   24.5000000    1.3858622480e+01    1.1734986324e-01    1.2674018564e+02    1.2564757756e+02    1.2800000000e+02
   24.6250000    1.3859730878e+01    1.1783929529e-01    1.2675866753e+02    1.2564180820e+02    1.2800000000e+02
   24.7500000    1.3861036584e+01    1.1841416245e-01    1.2677721038e+02    1.2563615979e+02    1.2800000000e+02
   24.8750000    1.3862461940e+01    1.1904199646e-01    1.2679581288e+02    1.2563063701e+02    1.2800000000e+02
   25.0000000    1.3863616446e+01    1.1967347237e-01    1.2681446401e+02    1.2562525814e+02    1.2800000000e+02
   25.1250000    1.3864667066e+01    1.2035923960e-01    1.2683314708e+02    1.2562001185e+02    1.2800000000e+02
   25.2500000    1.3865732154e+01    1.2104107661e-01    1.2685187862e+02    1.2561490417e+02    1.2800000000e+02
   25.3750000    1.3866763542e+01    1.2172293760e-01    1.2687066107e+02    1.2560992226e+02    1.2800000000e+02
   25.5000000    1.3868035313e+01    1.2247019944e-01    1.2688949558e+02    1.2560506962e+02    1.2800000000e+02
   25.6250000    1.3869728074e+01    1.2325567813e-01    1.2690839758e+02    1.2560035744e+02    1.2800000000e+02
   25.7500000    1.3871234142e+01    1.2398946840e-01    1.2692737575e+02    1.2559578298e+02    1.2800000000e+02
   25.8750000    1.3872224269e+01    1.2475862895e-01    1.2694640591e+02    1.2559134369e+02    1.2800000000e+02
   26.0000000    1.3873254061e+01    1.2566261252e-01    1.2696546939e+02    1.2558704292e+02    1.2800000000e+02
   26.1250000    1.3874565870e+01    1.2657882901e-01    1.2698458472e+02    1.2558288459e+02    1.2800000000e+02
   26.2500000    1.3875834489e+01    1.2746559824e-01    1.2700376352e+02    1.2557887850e+02    1.2800000000e+02
   26.3750000    1.3877281913e+01    1.2845270068e-01    1.2702299358e+02    1.2557503303e+02    1.2800000000e+02
   26.5000000    1.3878771580e+01    1.2943422782e-01    1.2704228631e+02    1.2557133693e+02    1.2800000000e+02
   26.6250000    1.3880043336e+01    1.3036876794e-01    1.2706162429e+02    1.2556777691e+02    1.2800000000e+02
   26.7500000    1.3881286523e+01    1.3127021056e-01    1.2708100463e+02    1.2556435675e+02    1.2800000000e+02
   26.8750000    1.3882637357e+01    1.3211519633e-01    1.2710043311e+02    1.2556109082e+02    1.2800000000e+02
   27.0000000    1.3884049704e+01    1.3290124317e-01    1.2711989617e+02    1.2555798920e+02    1.2800000000e+02
   27.1250000    1.3885415596e+01    1.3363445217e-01    1.2713938125e+02    1.2555505157e+02    1.2800000000e+02
   27.2500000    1.3886709633e+01    1.3432640682e-01    1.2715889778e+02    1.2555227225e+02    1.2800000000e+02
   27.3750000    1.3888056600e+01    1.3499785684e-01    1.2717846284e+02    1.2554964490e+02    1.2800000000e+02
   27.5000000    1.3889586449e+01    1.3566959100e-01    1.2719808488e+02    1.2554717384e+02    1.2800000000e+02
   27.6250000    1.3891196242e+01    1.3635332603e-01    1.2721776679e+02    1.2554486334e+02    1.2800000000e+02
   27.7500000    1.3892765134e+01    1.3701912181e-01    1.2723750558e+02    1.2554270493e+02    1.2800000000e+02
   27.8750000    1.3894162867e+01    1.3764349727e-01    1.2725728898e+02    1.2554070433e+02    1.2800000000e+02
   28.0000000    1.3895321764e+01    1.3823711734e-01    1.2727710232e+02    1.2553887072e+02    1.2800000000e+02
   28.1250000    1.3896487701e+01    1.3885164005e-01    1.2729694760e+02    1.2553721074e+02    1.2800000000e+02
